Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,bothKeywords,Correspondence Address,Editors,Publisher Address,Conference name,Conference location,Conference date,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,Subject,EID,duplicatedIn,country,emailHost,institution,institutionWithCountry,authorFull
"Park, J., Kim, M., Bae, D.H.",An empirical study of supplementary patches in open source projects,2017,EMPIRICAL SOFTWARE ENGINEERING,22,1,,436,473,38,4,10.1007/s10664-016-9432-x,,"[Park, Jihun; Bae, Doo-Hwan] Korea Adv Inst Sci & Technol, Sch Comp, Daejeon, South Korea; [Kim, Miryung] Univ Calif Los Angeles, Dept Comp Sci, Los Angeles, CA 90024 USA",,"Developers occasionally make more than one patch to fix a bug. The related patches sometimes are intentionally separated, but unintended omission errors require supplementary patches. Several change recommendation systems have been suggested based on clone analysis, structural dependency, and historical change coupling in order to reduce or prevent incomplete patches. However, very few studies have examined the reason that incomplete patches occur and how real-world omission errors could be reduced. This paper systematically studies a group of bugs that were fixed more than once in open source projects in order to understand the characteristics of incomplete patches. Our study on Eclipse JDT core, Eclipse SWT, Mozilla, and Equinox p2 showed that a significant portion of the resolved bugs require more than one attempt to fix. Compared to single-fix bugs, the multi-fix bugs did not have a lower quality of bug reports, but more attribute changes (i.e., cc'ed developers or title) were made to the multi-fix bugs than to the single-fix bugs. Multi-fix bugs are more likely to have high severity levels than single-fix bugs. Hence, more developers have participated in discussions about multi-fix bugs compared to single-fix bugs. Multi-fix bugs take more time to resolve than single-fix bugs do. Incomplete patches are longer and more scattered, and they are related to more files than regular patches are. Our manual inspection showed that the causes of incomplete patches were diverse, including missed porting updates, incorrect handling of conditional statements, and incomplete refactoring. Our investigation showed that only 7 % to 17 % of supplementary patches had content similar to their initial patches, which implies that supplementary patch locations cannot be predicted by code clone analysis alone. Furthermore, 16 % to 46 % of supplementary patches were beyond the scope of the immediate structural dependency of their initial patch locations. Historical co-change patterns also showed low precision in predicting supplementary patch locations. Code clones, structural dependencies, and historical co-change analyses predicted different supplementary patch locations, and there was little overlap between them. Combining these analyses did not cover all supplementary patch locations. The present study investigates the characteristics of incomplete patches and multi-fix bugs, which have not been systematically examined in previous research. We reveal that predicting supplementary patch is a difficult problem that existing change recommendation approaches could not cover. New type of approaches should be developed and validated on a supplementary patch data set, which developers failed to make the complete patches at once in practice.",Software evolution; Empirical study; Patches; Bug fixes,MINING VERSION HISTORIES; CLONE DETECTION; CODE,Software evolution;Empirical study;Patches;Bug fixes;MINING VERSION HISTORIES;CLONE DETECTION;CODE,jhpark@se.kaist.ac.kr; miryung@cs.ucla.edu; bae@se.kaist.ac.kr,,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",,,,SPRINGER,1382-3256,,,,English,EMPIR SOFTW ENG,Article,WoS,Computer Science,WOS:000392378400012,2-s2.0-84966430205,South Korea;United States,se.kaist.ac.kr,Korea Adv Inst Sci & Technol;Univ Calif Los Angeles,"Korea Adv Inst Sci & Technol, South Korea;Univ Calif Los Angeles, United States","Park, Jihun; Kim, Miryung; Bae, Doo-Hwan"
"Li, W., Shatnawi, R.",An empirical study of the bad smells and class error probability in the post-release object-oriented system evolution,2007,JOURNAL OF SYSTEMS AND SOFTWARE,80,7,,1120,1128,9,109,10.1016/j.jss.2006.10.018,,"Univ Alabama, Dept Comp Sci, Huntsville, AL 35899 USA",,"Bad smells are used as a means to identify problematic classes in object-oriented systems for refactoring. The belief that the bad smells are linked with problematic classes is largely based on previous metric research results. Although there is a plethora of empirical studies linking software metrics to errors and error proneness of classes in object-oriented systems, the link between the bad smells and class error probability in the evolution of object-oriented systems after the systems are released has not been explored. There has been no empirical evidence linking the bad smells with class error probability so far. This paper presents the results from an empirical study that investigated the relationship between the bad smells and class error probability in three error-severity levels in an industrial-strength open source system. Our research, which was conducted in the context of the post-release system evolution process, showed that some bad smells were positively associated with the class error probability in the three error-severity levels. This finding supports the use of bad smells as a systematic method to identify and refactor problematic classes in this specific context. (C) 2006 Elsevier Inc. All rights reserved.",object-oriented design; bad smells; software metrics; design evolution; open source software; empirical study,SOFTWARE SYSTEM; METRICS; DESIGN; VALIDATION; QUALITY,object-oriented design;bad smells;software metrics;design evolution;open source software;empirical study;SOFTWARE SYSTEM;METRICS;DESIGN;VALIDATION;QUALITY,wli@cs.uah.edu; rshatnaw@cs.uah.edu,,"360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA",,,,ELSEVIER SCIENCE INC,0164-1212,,,,English,J SYST SOFTWARE,Article,WoS,Computer Science,WOS:000247453800018,2-s2.0-34248563867,United States,cs.uah.edu,Dept Comp Sci,"Dept Comp Sci, United States","Li, Wei; Shatnawi, Raed"
"Capiluppi, A., Fernandez-Ramil, J., Higman, J., Sharp, H.C., Smith, N.",An empirical study of the evolution of an agile-developed software system,2007,"ICSE 2007: 29TH INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING, PROCEEDINGS",,,,511,+,3,23,,,"[Capiluppi, A.] Univ Lincoln, Lincoln, England; [Fernandez-Ramil, J.; Sharp, H. C.; Smith, N.] Open Univ, Chittagong, Bangladesh; [Higman, J.] Independent Agile Coach, London, England",,"We have analyzed evolution patterns over two and a half years for a system developed using eXtreme Programming. We find that the system shows a smooth Pattern of growth overall, that (McCabe) code complexity is low, and that the relative amount Of complexity control work (e.g. refactoring) is higher than in other systems we have studied. To interpret these results, we have drawn on qualitative data including the results of an observational study, records of progress and productivity, and comments on our findings from team members.",,,,acapiluppi@lincoln.ac.uk; j.f.ramil@open.ac.uk; jhigman@pobox.com; h.c.sharp@open.ac.uk; n.smith@open.ac.uk,,"10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA",29th International Conference on Software Engineering (ICSE 2007),"Minneapolis, MN","MAY 20-26, 2007",IEEE COMPUTER SOC,0270-5257,978-0-7695-2828-1,,,English,PROC INT CONF SOFTW,Proceedings Paper,WoS,Computer Science,WOS:000247063000050,2-s2.0-34548730226,United Kingdom;Bangladesh,lincoln.ac.uk,Univ Lincoln;Open Univ;Independent Agile Coach,"Univ Lincoln, United Kingdom;Open Univ, Bangladesh;Independent Agile Coach, United Kingdom","Capiluppi, A.; Fernandez-Ramil, J.; Higman, J.; Sharp, H. C.; Smith, N."
"Correa, A., Werner, C., Barros, M.",An empirical study of the impact of OCL smells and refactorings on the understandability of OCL specifications,2007,"MODEL DRIVEN ENGINEERING LANGUAGES AND SYSTEMS, PROCEEDINGS",4735,,,76,+,3,14,,,"[Correa, Alexandre; Werner, Claudia] Univ Fed Rio de Janeiro, Dept Comp Sci, COPPE, CP 68511, BR-21945970 Rio De Janeiro, Brazil; [Barros, Marcio] Univ Fed Rio de Janeiro, Dept Comp Sci, UNIRIOTEC, BR-22290240 Rio De Janeiro, Brazil",,"The Object Constraint Language (OCL) is a OMG standard that plays an important role in the elaboration of precise models. However, it is not hard to find models and metamodels containing overly complex OCL expressions. Refactoring is a technique that can be used in this context since its goal is to reduce complexity by incrementally improving the internal software quality. Indeed several refactorings have already been proposed to improve the quality of OCL expressions. This paper presents the results of an empirical study that investigates the impact of poor OCL constructs, also known as OCL Smells, and OCL refactorings on the understandability of OCL expressions. Current results show that most refactorings significantly improve the understandability of OCL specifications.",,,,alexcorr@cos.ufrj.br; werner@cos.ufrj.br; marcio.barros@uniriotec.br,"Engels, G; Opdyke, B; Schmidt, DC; Weil, F","HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY",10th International Conference on Model Driven Engineering Languages and Systems,"Nashville, TN","SEP 30-OCT 05, 2007",SPRINGER-VERLAG BERLIN,0302-9743,978-3-540-75208-0,,,English,LECT NOTES COMPUT SC,Proceedings Paper,WoS,Computer Science,WOS:000250337600006,2-s2.0-38049047965,Brazil,cos.ufrj.br,Univ Fed Rio de Janeiro,"Univ Fed Rio de Janeiro, Brazil","Correa, Alexandre; Werner, Claudia; Barros, Marcio"
"Hecht, G., Moha, N., Rouvoy, R.",An Empirical Study of the Performance Impacts of Android Code Smells,2016,2016 IEEE/ACM INTERNATIONAL CONFERENCE ON MOBILE SOFTWARE ENGINEERING AND SYSTEMS (MOBILESOFT 2016),,,,59,69,11,16,10.1145/2897073.2897100,,"[Hecht, Geoffrey; Rouvoy, Romain] Univ Lille, Inria, Villeneuve Dascq, France; [Hecht, Geoffrey; Moha, Naouel] Univ Quebec, Montreal, PQ, Canada",,"Android code smells are had implementation practices within Android applications (or apps) that may lead to poor software quality, in particular in terms of performance. Yet, performance is a main software quality concern in the development of mobile apps. Correcting Android code smells is thus an important activity to increase the performance of mobile apps and to provide the best experience to mobile end-users while considering, the limited constraints of mobile. devices (e.g., CPU, memory, battery). however, no empirical study has assessed the positive performance impacts of correcting mobile code smells. In this paper, we therefore conduct ani empirical study focusing on the individual and combined performance impacts of three Android performance code smells (namely, Internal Getter/Setter, Member Ignoring Method, and IlashMap Usage) on two open source Android apps. To perform this study, we use the PAPRIKA toolkit to detect these three code smells in the analyzed apps, and we derive four versions of the apps by correcting each detected smell independently, and all of them. Then, we evaluate the performance of each version on;1 common user scenario test. hi particular, we evaluate the UI and memory performance using the following metrics: frame dine, number of delayed frames, memory usage, and number of garbage collection calls. Our results show that correcting these Android code smells effectively improve the UI and memory performance. In particular, we observe an improvement up to 12.4% on UI metrics when correcting Member Ignoring Method and up to 3.6% on memory-related metrics when correcting the three Android code smells. We believe that developers can benefit from these results to guide their refactoring, and thus improve the quality of their mobile apps.",Android; code smells; metrics; mobile computing; performance,,Android;code smells;metrics;mobile computing;performance,geoffrey.hecht@inria.fr; moha.naouel@uqam.ca; romain.rouvoy@inria.fr,,"345 E 47TH ST, NEW YORK, NY 10017 USA",IEEE/ACM International Conference on Mobile Software Engineering and Systems (MOBILESoft),"Austin, TX","MAY 16-17, 2016",IEEE,,978-1-4503-4178-3,,,English,,Proceedings Paper,WoS,Computer Science,WOS:000398537300019,2-s2.0-84983535038,France;Canada,inria.fr,Univ Lille;Univ Quebec,"Univ Lille, France;Univ Quebec, Canada","Hecht, Geoffrey; Moha, Naouel; Rouvoy, Romain"
"Mostafa, M.J.I.",An Empirical Study on Clone Evolution by Analyzing Clone Lifetime,2019,2019 IEEE 13TH INTERNATIONAL WORKSHOP ON SOFTWARE CLONES (IWSC '19),,,,20,26,7,0,,,"[Mostafa, Md. Jubair Ibna] Univ Dhaka, Inst Informat Technol, Dhaka, Bangladesh",,"The existence of code clones has several negative impacts on software maintenance which is why vast amount of research exists in the literature to characterize clone evolution. Most of those focused on clone genealogy, and clone changeness (consistent and inconsistent changes). However, analyzing clone evolution with respect to clone location and clone lifetime requires more attention to better characterize clone evolution. In this research, an empirical study has been performed on clone evolution by considering clone location (i.e., Inter-File and Intra-File) and clone lifetime. The study has been performed on four open source software covering 12 to 66 number of versions. In the study, it has been found that, (i) Intra-File clones occurred in a repository more than Inter-File clones, which infers that developers tend to clone code in the same file than different files and (ii) Intra-File clones are more volatile than Inter-File clones, which infers that developers like to refactor or change clones of the same file more than clones spanning different files. These observations help to conclude which clones should get more attention during clone maintenance tasks like refactoring.",Code Clone Evolution; Clone Lifetime; Software Maintenance,,Code Clone Evolution;Clone Lifetime;Software Maintenance,bsse0614@iit.du.ac.bd,"Choi, E; Hou, D","345 E 47TH ST, NEW YORK, NY 10017 USA",13th IEEE International Workshop on Software Clones (IWSC),"Hangzhou, PEOPLES R CHINA","FEB 24, 2019",IEEE,2329-0595,978-1-7281-1805-5,,,English,INT WORKS SOFTW CLON,Proceedings Paper,WoS,Computer Science; Engineering,WOS:000467274600004,2-s2.0-85063967922,Bangladesh,iit.du.ac.bd,Univ Dhaka,"Univ Dhaka, Bangladesh","Mostafa, Md. Jubair Ibna"
"Jain S., Saha A.",An empirical study on research and developmental opportunities in refactoring practices,2019,"Proceedings of the International Conference on Software Engineering and Knowledge Engineering, SEKE",2019-July,,,313,318,,0,10.18293/SEKE2019-038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071365484&doi=10.18293%2fSEKE2019-038&partnerID=40&md5=a70cd38be3bbf3cbcafce266c408c0e0,"University School of Information, Communication and Technology, GGS Indraprastha University, Sector 16 C, Dwarka, Delhi, India","Jain, S., University School of Information, Communication and Technology, GGS Indraprastha University, Sector 16 C, Dwarka, Delhi, India; Saha, A., University School of Information, Communication and Technology, GGS Indraprastha University, Sector 16 C, Dwarka, Delhi, India","Maintaining large complex software is one of the major challenges faced by today's software industry. Refactoring is one way to do so. It is the process of changing internal structure of project code or software design without altering functionality. It improves software quality and reduces software entropy. This paper presents the preliminary results of an explanatory survey targeted at investigating refactoring practices by IT professionals. 221 participants helped to reveal important facts about refactoring risks, benefits, limitations of tools, and how a team manages consistency between different artefacts while practising refactoring. Findings reveal that refactoring tools are under-used as they have availability, usability and trust issues. An automated system is the need of the hour to manage change consistencies, visualizing code structures, detecting code, and design smells, and performing refactorings. This study will enable researchers and developers to understand their role in a better way as prevailing issues with current state-of-art are exposed and challenges are reported. © 2019 Knowledge Systems Institute Graduate School. All rights reserved.",Code smells; Em pirical study; Refactoring; Refactoring tools; Survey,Automation; Codes (symbols); Computer software selection and evaluation; Knowledge engineering; Odors; Surveying; Surveys; Code smell; Em pirical study; Empirical studies; Internal structure; Prevailing issues; Refactoring tools; Refactorings; Software entropies; Software design,Code smells;Em pirical study;Refactoring;Refactoring tools;Survey;Automation;Codes (symbols);Computer software selection and evaluation;Knowledge engineering;Odors;Surveying;Surveys;Code smell;Empirical studies;Internal structure;Prevailing issues;Refactorings;Software entropies;Software design,,,,,,,Knowledge Systems Institute Graduate School,23259000,1891706489,,,English,"Proc. Int. Conf. Softw. Eng. Knowl. Eng., SEKE",Conference Paper,Scopus,,2-s2.0-85071365484,,India,No email,,,"Jain S., Saha A."
"Udagawa, Y.",An Empirical Study on Retrieving Structural Clones Using Sequence Pattern Mining Algorithms,2014,16TH INTERNATIONAL CONFERENCE ON INFORMATION INTEGRATION AND WEB-BASED APPLICATIONS & SERVICES (IIWAS 2014),,,,270,276,7,0,,,"[Udagawa, Yoshihisa] Tokyo Polytech Univ, Fac Engn, 1583 Iiyama, Atsugi, Kanagawa, Japan",,"Many clone detection techniques focus on fragments of duplicated code, i.e., simple clones. Structural clones are simple clones within a syntactic boundary that are good candidates for refactoring. In this paper, a new approach for detection of structural clones in source code is presented. The proposed approach is parse-tree-based and is enhanced by frequent subsequence mining. It comprises three stages: preprocessing, mining frequent statement sequences, and fine-matching for structural clones using a modified longest common subsequence (LCS) algorithm. The lengths of control statements in a programming language and method identifiers differ; thus, a conventional LCS algorithm does not return the expected length of matched identifiers. We propose an encoding algorithm for control statements and method identifiers. Retrieval experiments were conducted using the Java SWING source code. The results show that the proposed data mining algorithm detects clones comprising 51 extracted statements. Our modified LCS algorithm retrieves a number of structural clones with arbitrary statement gaps.",Structural clone; Java source code; Control statement; Method identifier; Frequent subsequence mining,,Structural clone;Java source code;Control statement;Method identifier;Frequent subsequence mining,udagawa@cs.t-kougei.ac.jp,"IndrawanSantiago, M; Steinbauer, M; Nguyen, HQ; Tjoa, AM; Khalil, I; AnderstKotsis, G","1515 BROADWAY, NEW YORK, NY 10036-9998 USA",16th International Conference on Information Integration and Web-Based Applications and Services (iiWAS),"Hanoi, VIETNAM","DEC 04-06, 2014",ASSOC COMPUTING MACHINERY,,978-1-4503-3001-5,,,English,,Proceedings Paper,WoS,Computer Science; Engineering,WOS:000382567000043,,Japan,cs.t-kougei.ac.jp,Tokyo Polytech Univ,"Tokyo Polytech Univ, Japan","Udagawa, Yoshihisa"
"Nguyen T.L., Fish A., Song M.",An Empirical Study on Similar Changes in Evolving Software,2018,IEEE International Conference on Electro Information Technology,2018-May,, 8500302,560,563,,0,10.1109/EIT.2018.8500302,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057132876&doi=10.1109%2fEIT.2018.8500302&partnerID=40&md5=87e6e8c89ce0aa2738a1f6855790096b,"Department of Computer Science, University of Nebraska at Omaha, Omaha, NE, United States","Nguyen, T.L., Department of Computer Science, University of Nebraska at Omaha, Omaha, NE, United States; Fish, A., Department of Computer Science, University of Nebraska at Omaha, Omaha, NE, United States; Song, M., Department of Computer Science, University of Nebraska at Omaha, Omaha, NE, United States","Oftentimes, refactoring can eliminate problems of code clones, however, that is not always the case as refactoring does not always work due to the limitation of the Java Programming language. There have been numerous studies which focus on the evolution of code clones including their impacts on software systems, their lifetimes, and their transformations. Yet, some of code clone's properties still remain a mystery. In this study, we focus on how clone groups evolve from one version to the next by manually inspecting the similar changes from clone groups in the older version and comparing it with clone groups in the newer version. We will also be looking for any special relationship between the similar changes clone groups and projects growth. © 2018 IEEE.",Clone group; Code clone; Similar changes,Codes (symbols); Computer programming; Code clone; Empirical studies; Refactorings; Similar changes; Software systems; Cloning,Clone group;Code clone;Similar changes;Codes (symbols);Computer programming;Empirical studies;Refactorings;Software systems;Cloning,,,,,,,IEEE Computer Society,21540357,9781538653982,,,English,IEEE Int. Conf. Electro Inform. Technol.,Conference Paper,Scopus,,2-s2.0-85057132876,,United States,No email,,,"Nguyen T.L., Fish A., Song M."
"Khrishe, Y., Alshayeb, M.",An Empirical Study on the Effect of the Order of Applying Software Refactoring,2016,2016 7TH INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND INFORMATION TECHNOLOGY (CSIT),,,,,,4,1,,,"[Khrishe, Yahya; Alshayeb, Mohammad] King Fahd Univ Petr & Minerals, Informat & Comp Sci Dept, Dhahran 31261, Saudi Arabia",,"Refactoring has been widely used to improve software design. Refactoring is applied when a bad smell is detected. Several bad smells might be present in the code. In this paper, we conduct an empirical study to find if the order of applying refactoring has any impact on the quality of the final code. We run six experiments by applying three refactoring methods in different orders and evaluate the quality of the code using software metrics at the end of each refactoring sequence. Our experiments results show that that applying refactoring in different order provides different impact on the final code.","refactoring; bad smells; empirical study; refactoring, code quality",,"refactoring;bad smells;empirical study;refactoring, code quality",g201306450@kfupm.edu.sa; alshayeb@kfupm.edu.sa,,"345 E 47TH ST, NEW YORK, NY 10017 USA",7th International Conference on Computer Science and Information Technology (CSIT),"Amman, JORDAN","JUL 13-14, 2016",IEEE,2381-3458,978-1-4673-8913-6,,,English,INT CONF COMP SCI,Proceedings Paper,WoS,Computer Science,WOS:000390458000024,2-s2.0-84987596934,Saudi Arabia,kfupm.edu.sa,King Fahd Univ Petr & Minerals,"King Fahd Univ Petr & Minerals, Saudi Arabia","Khrishe, Yahya; Alshayeb, Mohammad"
"Oliveira J., Viggiato M., Santos M., Figueiredo E., Marques-Neto H.",An empirical study on the impact of android code smells on resource usage,2018,"Proceedings of the International Conference on Software Engineering and Knowledge Engineering, SEKE",2018-July,,,314,319,,0,10.18293/SEKE2018-157,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056839301&doi=10.18293%2fSEKE2018-157&partnerID=40&md5=8822f5556d206c977080599d910c09a5,"1Department of Computer Science, Pontifical Catholic University of Minas Gerais (PUC Minas), Brazil; Department of Computer Science, Federal University of Minas Gerais (UFMG), Belo Horizonte, Brazil","Oliveira, J., 1Department of Computer Science, Pontifical Catholic University of Minas Gerais (PUC Minas), Brazil; Viggiato, M., Department of Computer Science, Federal University of Minas Gerais (UFMG), Belo Horizonte, Brazil; Santos, M., 1Department of Computer Science, Pontifical Catholic University of Minas Gerais (PUC Minas), Brazil; Figueiredo, E., Department of Computer Science, Federal University of Minas Gerais (UFMG), Belo Horizonte, Brazil; Marques-Neto, H., 1Department of Computer Science, Pontifical Catholic University of Minas Gerais (PUC Minas), Brazil","Code smells are symptoms that something may be wrong with the app. Aiming at removing code smells and improving the maintainability and performance of the app, we may apply the refactoring technique, which could reduce hardware resource use, such as CPU and memory. However, a few studies have evaluated the impacts of the refactoring in Android. This paper presents a study to assess the effects of smartphone resource use caused by refactoring of 3 classic code smells: God Class, God Method, and Feature Envy. To this purpose, we selected 9 apps from GitHub. The results show that refactoring used in desktop software may not be appropriate for Android apps. For example, the refactoring of God Method had increased CPU consumption by more than 47%, while the refactoring of the 3 code smells reduced memory consumption in average 6.51%, 8.4%, and 6.37%, respectively, in one app. Our results can support the community in conducting research and future implementation of new tools. Also, it guides app developers in refactoring and thus improving the quality of their apps. © 2018 Universitat zu Koln. All rights reserved.",Android Smells; Code Smells; Consumption of Smartphone Resources,Codes (symbols); Knowledge engineering; Natural resources management; Odors; Smartphones; Android Smells; Code smell; Desktop software; Empirical studies; Hardware resources; Reduced memory; Resource usage; Resource use; Android (operating system),Android Smells;Code Smells;Consumption of Smartphone Resources;Codes (symbols);Knowledge engineering;Natural resources management;Odors;Smartphones;Code smell;Desktop software;Empirical studies;Hardware resources;Reduced memory;Resource usage;Resource use;Android (operating system),,,,,,,Knowledge Systems Institute Graduate School,23259000,1891706446,,,English,"Proc. Int. Conf. Softw. Eng. Knowl. Eng., SEKE",Conference Paper,Scopus,,2-s2.0-85056839301,,Brazil,No email,,,"Oliveira J., Viggiato M., Santos M., Figueiredo E., Marques-Neto H."
"Kula, R.G., Ouni, A., German, D.M., Inoue, K.",An empirical study on the impact of refactoring activities on evolving client-used APIs,2018,INFORMATION AND SOFTWARE TECHNOLOGY,93,,,186,199,14,4,10.1016/j.infsof.2017.09.007,,"[Kula, Raula Gaikovina; Inoue, Katsuro] Osaka Univ, Suita, Osaka, Japan; [Kula, Raula Gaikovina] Nara Inst Sci & Technol, Ikoma, Japan; [German, Daniel M.] Univ Victoria, Victoria, BC, Canada; [Ouni, Ali] Ecole Technol Super Montreal, Montreal, PQ, Canada",,"Context Refactoring is recognized as an effective practice to maintain evolving software systems. For software libraries, we study how library developers refactor their Application Programming Interfaces (APIs), especially when it impacts client users by breaking an API of the library. Objective: Our work aims to understand how clients that use a library API are affected by refactoring activities. We target popular libraries that potentially impact more library client users. Method: We distinguish between library APIs based on their client-usage (referred to as client-used APIs) in order to understand the extent to which API breakages relate to refactorings. Our tool-based approach allows for a large-scale study across eight libraries (i.e., totaling 183 consecutive versions) with around 900 clients projects. Results: We find that library maintainers are less likely to break client-used API classes. Quantitatively, we find that refactoring activities break less than 37% of all client-used APIs. In a more qualitative analysis, we show two documented cases of where non-refactoring API breaking changes are motivated other maintenance issues (i.e., bug fix and new features) and involve more complex refactoring operations. Conclusion Using our automated approach, we find that library developers are less likely to break APIs and tend to break client-used APIs when performing maintenance issues.",Refactoring; API Breakages; Software libraries; Software evolution,SOURCE CODE; EVOLUTION; SUPPORT,Refactoring;API Breakages;Software libraries;Software evolution;SOURCE CODE;EVOLUTION;SUPPORT,raula-k@is.naist.jp; ali@ist.osaka-u.ac.jp; dmg@uvic.ca; inoue@istosaka-u.ac.jp,,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",,,,ELSEVIER SCIENCE BV,0950-5849,,,,English,INFORM SOFTWARE TECH,Article,WoS,Computer Science,WOS:000414878200012,2-s2.0-85029810360,Japan;Canada,is.naist.jp,Osaka Univ;Nara Inst Sci & Technol;Univ Victoria;Ecole Technol Super Montreal,"Osaka Univ, Japan;Nara Inst Sci & Technol, Japan;Univ Victoria, Canada;Ecole Technol Super Montreal, Canada","Kula, Raula Gaikovina; Ouni, Ali; German, Daniel M.; Inoue, Katsuro"
"Hofer, A., Philipp, M.",An Empirical Study on the TDD Conformance of Novice and Expert Pair Programmers,2009,"AGILE PROCESSES IN SOFTWARE ENGINEERING AND EXTREME PROGRAMMING: 10TH INTERNATIONAL CONFERENCE, XP 2009",31,,,33,+,3,4,,,"[Hoefer, Andreas] Univ Karlsruhe TH, IPD Inst, Fasanengarten 5, D-76131 Karlsruhe, Germany; [Philipp, Marc] Andrena Objects Ag, Albert Nestler Strabe 11, D-76131 Karlsruhe, Germany",,"We conducted a quasi-experiment comparing the conformance to the test-driven development (TDD) process of one expert and two novice groups of programmers working in pairs. Besides an insignificant tendency of the expert group toward a higher TDD conformance and instruction coverage, we found that the expert group had refactored their code to a larger extent than the two novice groups. More surprisingly though, the pairs in the expert group were significantly slower than the pairs in one of the novice groups.",test-driven development; pair programming; experts and novices; quasi-experiment,,test-driven development;pair programming;experts and novices;quasi-experiment,ahoefer@ipd.uni-karlsruhe.de; marc.philipp@andrena.de,"Abrahamsson, P; Marchesi, M; Maurer, F","HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY",10th International Conference on Agile Processes in Software Engineering and Extreme Programming,"Pula, ITALY","MAY 25-29, 2009",SPRINGER-VERLAG BERLIN,1865-1348,978-3-642-01852-7,,,English,LECT NOTES BUS INF P,Proceedings Paper,WoS,Computer Science,WOS:000267057500006,,Germany,ipd.uni-karlsruhe.de,Univ Karlsruhe TH;Andrena Objects Ag,"Univ Karlsruhe TH, Germany;Andrena Objects Ag, Germany","Hoefer, Andreas; Philipp, Marc"
"Mazinanian, D., Tsantalis, N.",An empirical study on the use of CSS preprocessors,2016,"2016 IEEE 23RD INTERNATIONAL CONFERENCE ON SOFTWARE ANALYSIS, EVOLUTION, AND REENGINEERING (SANER), VOL 1",,,,168,178,11,5,10.1109/SANER.2016.18,,"[Mazinanian, Davood; Tsantalis, Nikolaos] Concordia Univ, Dept Comp Sci & Software Engn, Montreal, PQ, Canada",,"Cascading Style Sheets (CSS) is the standard language for styling structured documents, such as HTML. However, CSS lacks most of the traditional programming constructs, including variables and functions, which enable code reuse and structured programming. Alternatively, CSS Preprocessors (e.g., LESS, SASS) have been introduced as superset languages to extend CSS by supporting those missing constructs. While these languages are being widely used by developers, we do not have sufficient knowledge about how developers take advantage of the features they provide. Gaining this knowledge is crucial for providing better tool support to the developer community by devising techniques for the automatic migration of existing CSS code to take advantage of CSS Preprocessor language features, designing refactoring recommendation systems for existing Preprocessor code, and giving insights to the Preprocessor language designers for improving language usability. In this paper, we have empirically investigated the CSS Preprocessor codebase of 150 websites regarding four preprocessor features, namely variables, nested selectors, mixins and extend constructs, and report the discovered usage patterns for each feature. We also discuss how the gained knowledge can be put into practice towards improving the development and maintenance of CSS preprocessor code.",,,,d_mazina@cse.concordia.ca; tsantalis@cse.concordia.ca,,"345 E 47TH ST, NEW YORK, NY 10017 USA","23rd IEEE International Conference on Software Analysis, Evolution, and Reengineering (SANER)","Osaka, JAPAN","MAR 14-18, 2016",IEEE,,978-1-5090-1855-0,,,English,,Proceedings Paper,WoS,Computer Science; Engineering,WOS:000382672700016,,Canada,cse.concordia.ca,Concordia Univ,"Concordia Univ, Canada","Mazinanian, Davood; Tsantalis, Nikolaos"
